gid_code,level,name,parent_gid_code
FRA,0,France,
USA,0,United States,
FRA.1_1,1,Auvergne-Rhône-Alpes,FRA
FRA.2_1,1,Bourgogne-Franche-Comté,FRA
FRA.3_1,1,Bretagne,FRA
FRA.4_1,1,Centre-Val de Loire,FRA
FRA.5_1,1,Corse,FRA
FRA.6_1,1,Grand Est,FRA
FRA.7_1,1,Hauts-de-France,FRA
FRA.8_1,1,Île-de-France,FRA
FRA.9_1,1,Normandie,FRA
FRA.10_1,1,Nouvelle-Aquitaine,FRA
FRA.11_1,1,Occitanie,FRA
FRA.12_1,1,Pays de la Loire,FRA
FRA.13_1,1,Provence-Alpes-Côte d'Azur,FRA
USA.1_1,1,Alabama,USA
USA.2_1,1,Alaska,USA
USA.3_1,1,Arizona,USA
USA.4_1,1,Arkansas,USA
USA.5_1,1,California,USA
USA.6_1,1,Colorado,USA
USA.7_1,1,Connecticut,USA
USA.8_1,1,Delaware,USA
USA.9_1,1,District of Columbia,USA
USA.10_1,1,Florida,USA
USA.11_1,1,Georgia,USA
USA.12_1,1,Hawaii,USA
USA.13_1,1,Idaho,USA
USA.14_1,1,Illinois,USA
USA.15_1,1,Indiana,USA
USA.16_1,1,Iowa,USA
USA.17_1,1,Kansas,USA
USA.18_1,1,Kentucky,USA
USA.19_1,1,Louisiana,USA
USA.20_1,1,Maine,USA
USA.21_1,1,Maryland,USA
USA.22_1,1,Massachusetts,USA
USA.23_1,1,Michigan,USA
USA.24_1,1,Minnesota,USA
USA.25_1,1,Mississippi,USA
USA.26_1,1,Missouri,USA
USA.27_1,1,Montana,USA
USA.28_1,1,Nebraska,USA
USA.29_1,1,Nevada,USA
USA.30_1,1,New Hampshire,USA
USA.31_1,1,New Jersey,USA
USA.32_1,1,New Mexico,USA
USA.33_1,1,New York,USA
USA.34_1,1,North Carolina,USA
USA.35_1,1,North Dakota,USA
USA.36_1,1,Ohio,USA
USA.37_1,1,Oklahoma,USA
USA.38_1,1,Oregon,USA
USA.39_1,1,Pennsylvania,USA
USA.40_1,1,Rhode Island,USA
USA.41_1,1,South Carolina,USA
USA.42_1,1,South Dakota,USA
USA.43_1,1,Tennessee,USA
USA.44_1,1,Texas,USA
USA.45_1,1,Utah,USA
USA.46_1,1,Vermont,USA
USA.47_1,1,Virginia,USA
USA.48_1,1,Washington,USA
USA.49_1,1,West Virginia,USA
USA.50_1,1,Wisconsin,USA
USA.51_1,1,Wyoming,USA
FRA.1.1_1,2,Ain,FRA.1_1
FRA.1.2_1,2,Allier,FRA.1_1
FRA.1.3_1,2,Ardèche,FRA.1_1
FRA.1.4_1,2,Cantal,FRA.1_1
FRA.1.5_1,2,Drôme,FRA.1_1
FRA.1.6_1,2,Haute-Loire,FRA.1_1
FRA.1.7_1,2,Haute-Savoie,FRA.1_1
FRA.1.8_1,2,Isère,FRA.1_1
FRA.1.9_1,2,Loire,FRA.1_1
FRA.1.10_1,2,Puy-de-Dôme,FRA.1_1
FRA.1.11_1,2,Rhône,FRA.1_1
FRA.1.12_1,2,Savoie,FRA.1_1
FRA.2.1_1,2,Côte-d'Or,FRA.2_1
FRA.2.2_1,2,Doubs,FRA.2_1
FRA.2.3_1,2,Haute-Saône,FRA.2_1
FRA.2.4_1,2,Jura,FRA.2_1
FRA.2.5_1,2,Nièvre,FRA.2_1
FRA.2.6_1,2,Saône-et-Loire,FRA.2_1
FRA.2.7_1,2,Territoire de Belfort,FRA.2_1
FRA.2.8_1,2,Yonne,FRA.2_1
FRA.3.1_1,2,Côtes-d'Armor,FRA.3_1
FRA.3.2_1,2,Finistère,FRA.3_1
FRA.3.3_1,2,Ille-et-Vilaine,FRA.3_1
FRA.3.4_1,2,Morbihan,FRA.3_1
FRA.4.1_1,2,Cher,FRA.4_1
FRA.4.2_1,2,Eure-et-Loir,FRA.4_1
FRA.4.4_1,2,Indre,FRA.4_1
FRA.4.3_1,2,Indre-et-Loire,FRA.4_1
FRA.4.5_1,2,Loir-et-Cher,FRA.4_1
FRA.4.6_1,2,Loiret,FRA.4_1
FRA.5.1_1,2,Corse-du-Sud,FRA.5_1
FRA.5.2_1,2,Haute-Corse,FRA.5_1
FRA.6.1_1,2,Ardennes,FRA.6_1
FRA.6.2_1,2,Aube,FRA.6_1
FRA.6.3_1,2,Bas-Rhin,FRA.6_1
FRA.6.4_1,2,Haut-Rhin,FRA.6_1
FRA.6.5_1,2,Haute-Marne,FRA.6_1
FRA.6.6_1,2,Marne,FRA.6_1
FRA.6.7_1,2,Meurthe-et-Moselle,FRA.6_1
FRA.6.8_1,2,Meuse,FRA.6_1
FRA.6.9_1,2,Moselle,FRA.6_1
FRA.6.10_1,2,Vosges,FRA.6_1
FRA.7.1_1,2,Aisne,FRA.7_1
FRA.7.2_1,2,Nord,FRA.7_1
FRA.7.3_1,2,Oise,FRA.7_1
FRA.7.4_1,2,Pas-de-Calais,FRA.7_1
FRA.7.5_1,2,Somme,FRA.7_1
FRA.8.1_1,2,Essonne,FRA.8_1
FRA.8.2_1,2,Hauts-de-Seine,FRA.8_1
FRA.8.3_1,2,Paris,FRA.8_1
FRA.8.4_1,2,Seine-et-Marne,FRA.8_1
FRA.8.5_1,2,Seine-Saint-Denis,FRA.8_1
FRA.8.6_1,2,Val-d'Oise,FRA.8_1
FRA.8.7_1,2,Val-de-Marne,FRA.8_1
FRA.8.8_1,2,Yvelines,FRA.8_1
FRA.9.1_1,2,Calvados,FRA.9_1
FRA.9.2_1,2,Eure,FRA.9_1
FRA.9.3_1,2,Manche,FRA.9_1
FRA.9.4_1,2,Orne,FRA.9_1
FRA.9.5_1,2,Seine-Maritime,FRA.9_1
FRA.10.2_1,2,Charente,FRA.10_1
FRA.10.1_1,2,Charente-Maritime,FRA.10_1
FRA.10.3_1,2,Corrèze,FRA.10_1
FRA.10.4_1,2,Creuse,FRA.10_1
FRA.10.5_1,2,Deux-Sèvres,FRA.10_1
FRA.10.6_1,2,Dordogne,FRA.10_1
FRA.10.7_1,2,Gironde,FRA.10_1
FRA.10.8_1,2,Haute-Vienne,FRA.10_1
FRA.10.9_1,2,Landes,FRA.10_1
FRA.10.10_1,2,Lot-et-Garonne,FRA.10_1
FRA.10.11_1,2,Pyrénées-Atlantiques,FRA.10_1
FRA.10.12_1,2,Vienne,FRA.10_1
FRA.11.1_1,2,Ariège,FRA.11_1
FRA.11.2_1,2,Aude,FRA.11_1
FRA.11.3_1,2,Aveyron,FRA.11_1
FRA.11.4_1,2,Gard,FRA.11_1
FRA.11.5_1,2,Gers,FRA.11_1
FRA.11.6_1,2,Haute-Garonne,FRA.11_1
FRA.11.7_1,2,Hautes-Pyrénées,FRA.11_1
FRA.11.8_1,2,Hérault,FRA.11_1
FRA.11.9_1,2,Lot,FRA.11_1
FRA.11.10_1,2,Lozère,FRA.11_1
FRA.11.11_1,2,Pyrénées-Orientales,FRA.11_1
FRA.11.13_1,2,Tarn,FRA.11_1
FRA.11.12_1,2,Tarn-et-Garonne,FRA.11_1
FRA.12.1_1,2,Loire-Atlantique,FRA.12_1
FRA.12.2_1,2,Maine-et-Loire,FRA.12_1
FRA.12.3_1,2,Mayenne,FRA.12_1
FRA.12.4_1,2,Sarthe,FRA.12_1
FRA.12.5_1,2,Vendée,FRA.12_1
FRA.13.1_1,2,Alpes-de-Haute-Provence,FRA.13_1
FRA.13.2_1,2,Alpes-Maritimes,FRA.13_1
FRA.13.3_1,2,Bouches-du-Rhône,FRA.13_1
